Frame: 5, ID: 2 Class: motion, Coor: 607,239,663,326
Frame: 6, ID: 2 Class: motion, Coor: 591,239,648,327
Frame: 6, ID: 4 Class: motion, Coor: 268,212,318,296
Frame: 7, ID: 2 Class: motion, Coor: 583,237,640,328
Frame: 7, ID: 4 Class: motion, Coor: 278,212,328,297
Frame: 7, ID: 5 Class: motion, Coor: 483,162,525,243
Frame: 8, ID: 2 Class: motion, Coor: 572,236,629,329
Frame: 8, ID: 4 Class: motion, Coor: 283,213,333,297
Frame: 8, ID: 5 Class: motion, Coor: 481,161,524,244
Frame: 9, ID: 2 Class: motion, Coor: 560,236,617,330
Frame: 9, ID: 4 Class: motion, Coor: 285,212,335,298
Frame: 9, ID: 5 Class: motion, Coor: 477,161,521,244
Frame: 10, ID: 2 Class: motion, Coor: 550,237,607,329
Frame: 10, ID: 4 Class: motion, Coor: 286,209,338,298
Frame: 10, ID: 5 Class: motion, Coor: 473,161,517,245
Frame: 11, ID: 2 Class: motion, Coor: 543,236,601,330
Frame: 11, ID: 4 Class: motion, Coor: 296,210,348,298
Frame: 11, ID: 5 Class: motion, Coor: 469,164,514,248
Frame: 12, ID: 2 Class: motion, Coor: 529,234,586,330
Frame: 12, ID: 4 Class: motion, Coor: 300,211,353,297
Frame: 12, ID: 5 Class: motion, Coor: 465,165,511,249
Frame: 12, ID: 6 Class: motion, Coor: 722,332,786,412
Frame: 13, ID: 2 Class: motion, Coor: 518,234,573,329
Frame: 13, ID: 4 Class: motion, Coor: 301,206,357,295
Frame: 13, ID: 5 Class: motion, Coor: 464,166,510,250
Frame: 13, ID: 6 Class: motion, Coor: 709,306,792,411
Frame: 14, ID: 2 Class: motion, Coor: 506,235,561,329
Frame: 14, ID: 4 Class: motion, Coor: 305,201,362,291
Frame: 14, ID: 5 Class: motion, Coor: 458,168,506,253
Frame: 14, ID: 6 Class: motion, Coor: 700,292,791,411
Frame: 15, ID: 2 Class: motion, Coor: 495,234,551,329
Frame: 15, ID: 4 Class: motion, Coor: 309,199,368,290
Frame: 15, ID: 5 Class: motion, Coor: 455,168,504,254
Frame: 15, ID: 6 Class: motion, Coor: 694,284,788,409
Frame: 16, ID: 4 Class: motion, Coor: 325,198,383,289
Frame: 16, ID: 6 Class: motion, Coor: 693,280,785,405
Frame: 17, ID: 4 Class: motion, Coor: 334,197,391,289
Frame: 17, ID: 6 Class: motion, Coor: 693,276,783,400
Frame: 17, ID: 7 Class: motion, Coor: 436,177,534,326
Frame: 18, ID: 4 Class: motion, Coor: 343,193,399,285
Frame: 18, ID: 6 Class: motion, Coor: 688,273,777,396
Frame: 18, ID: 7 Class: motion, Coor: 433,187,523,325
Frame: 19, ID: 4 Class: motion, Coor: 350,192,406,284
Frame: 19, ID: 6 Class: motion, Coor: 685,271,773,394
Frame: 19, ID: 7 Class: motion, Coor: 393,189,484,324
Frame: 20, ID: 6 Class: motion, Coor: 683,270,769,391
Frame: 20, ID: 7 Class: motion, Coor: 379,192,470,324
Frame: 21, ID: 6 Class: motion, Coor: 680,266,765,384
Frame: 21, ID: 7 Class: motion, Coor: 372,187,468,324
Frame: 22, ID: 6 Class: motion, Coor: 676,264,762,380
Frame: 22, ID: 7 Class: motion, Coor: 366,186,463,322
Frame: 23, ID: 6 Class: motion, Coor: 673,263,760,378
Frame: 23, ID: 7 Class: motion, Coor: 360,183,459,321
Frame: 24, ID: 6 Class: motion, Coor: 659,259,748,377
Frame: 24, ID: 7 Class: motion, Coor: 359,179,459,319
Frame: 25, ID: 6 Class: motion, Coor: 651,256,740,373
