Frame: 1, Class: bus, Coor: 3270,1879,3430,1999
Frame: 1, Class: clock, Coor: 2383,1881,2439,1946
Frame: 1, Class: car, Coor: 2197,1882,2217,1907
Frame: 1, Class: bird, Coor: 2138,1864,2158,1890
Frame: 1, Class: car, Coor: 2079,1846,2099,1873
Frame: 1, Class: car, Coor: 2019,1827,2040,1855
Frame: 1, Class: bird, Coor: 2102,1333,2266,1446
Frame: 1, Class: bird, Coor: 2490,1307,2599,1428
Frame: 1, Class: bird, Coor: 3424,1325,3497,1399
Frame: 1, Class: bird, Coor: 2294,1188,2419,1309
Frame: 1, Class: bird, Coor: 3401,815,3467,864
Frame: 2, Class: bus, Coor: 3270,1878,3428,1997
Frame: 2, Class: clock, Coor: 2383,1880,2438,1946
Frame: 2, Class: car, Coor: 2197,1882,2216,1907
Frame: 2, Class: car, Coor: 2138,1864,2158,1890
Frame: 2, Class: car, Coor: 2079,1847,2099,1872
Frame: 2, Class: bird, Coor: 2103,1332,2269,1444
Frame: 2, Class: bird, Coor: 2490,1308,2599,1428
Frame: 2, Class: bird, Coor: 3424,1324,3497,1399
Frame: 2, Class: bird, Coor: 2296,1186,2421,1306
Frame: 3, Class: car, Coor: 2383,1880,2439,1946
Frame: 3, Class: car, Coor: 2198,1882,2216,1907
Frame: 3, Class: car, Coor: 2138,1864,2158,1890
Frame: 3, Class: bird, Coor: 2107,1330,2270,1444
Frame: 3, Class: bird, Coor: 2490,1308,2598,1427
Frame: 3, Class: clock, Coor: 3424,1324,3496,1399
Frame: 3, Class: bird, Coor: 2298,1183,2424,1304
Frame: 4, Class: clock, Coor: 2382,1880,2438,1946
Frame: 4, Class: car, Coor: 2197,1882,2216,1907
Frame: 4, Class: car, Coor: 2138,1864,2158,1889
Frame: 4, Class: car, Coor: 2079,1846,2099,1872
Frame: 4, Class: train, Coor: 2018,1827,2040,1856
Frame: 4, Class: bird, Coor: 2109,1327,2272,1443
Frame: 4, Class: bird, Coor: 2490,1308,2599,1427
Frame: 4, Class: bird, Coor: 3424,1325,3497,1398
Frame: 4, Class: bird, Coor: 2300,1179,2427,1304
Frame: 5, Class: car, Coor: 2382,1880,2439,1946
Frame: 5, Class: car, Coor: 2197,1882,2216,1907
Frame: 5, Class: car, Coor: 2138,1864,2158,1889
Frame: 5, Class: train, Coor: 2079,1846,2099,1872
Frame: 5, Class: bird, Coor: 2111,1327,2274,1443
Frame: 5, Class: bird, Coor: 2490,1308,2598,1426
Frame: 5, Class: clock, Coor: 3424,1324,3497,1398
Frame: 5, Class: bird, Coor: 2302,1177,2428,1301
Frame: 6, Class: train, Coor: 2382,1880,2439,1946
Frame: 6, Class: clock, Coor: 2113,1325,2276,1442
Frame: 6, Class: car, Coor: 2490,1308,2598,1427
Frame: 6, Class: car, Coor: 3424,1324,3496,1399
Frame: 6, Class: car, Coor: 2303,1175,2429,1300
Frame: 7, Class: bird, Coor: 2382,1880,2439,1946
Frame: 7, Class: clock, Coor: 2197,1881,2216,1908
Frame: 7, Class: car, Coor: 2137,1864,2157,1890
Frame: 7, Class: car, Coor: 2079,1847,2099,1872
Frame: 7, Class: car, Coor: 2986,1740,3159,1868
Frame: 7, Class: train, Coor: 2714,1652,2749,1692
Frame: 7, Class: person, Coor: 2116,1324,2280,1440
Frame: 7, Class: bird, Coor: 2490,1308,2598,1428
Frame: 7, Class: bird, Coor: 3424,1324,3496,1399
Frame: 7, Class: bird, Coor: 2308,1174,2433,1298
Frame: 8, Class: bird, Coor: 2382,1880,2439,1946
Frame: 8, Class: car, Coor: 2197,1882,2216,1908
Frame: 8, Class: clock, Coor: 2137,1864,2158,1889
Frame: 8, Class: car, Coor: 2079,1847,2099,1872
Frame: 8, Class: train, Coor: 2982,1739,3156,1866
Frame: 8, Class: car, Coor: 2017,1827,2040,1855
Frame: 8, Class: bird, Coor: 2119,1324,2283,1438
Frame: 8, Class: bird, Coor: 2490,1308,2598,1427
Frame: 8, Class: bird, Coor: 3424,1324,3496,1399
Frame: 8, Class: bird, Coor: 2308,1171,2434,1294
Frame: 9, Class: car, Coor: 2382,1880,2439,1945
Frame: 9, Class: car, Coor: 2197,1881,2216,1907
Frame: 9, Class: car, Coor: 2137,1864,2158,1889
Frame: 9, Class: car, Coor: 2079,1846,2099,1872
Frame: 9, Class: train, Coor: 2018,1827,2041,1855
Frame: 9, Class: clock, Coor: 1797,1358,1977,1497
Frame: 9, Class: bird, Coor: 2122,1323,2285,1439
