Frame: 3, ID: 2 Class: bird, Coor: 2298,1183,2422,1304
Frame: 3, ID: 3 Class: bird, Coor: 3423,1323,3497,1399
Frame: 3, ID: 4 Class: bird, Coor: 2490,1308,2597,1427
Frame: 3, ID: 5 Class: bird, Coor: 2105,1330,2270,1443
Frame: 3, ID: 8 Class: bird, Coor: 2138,1864,2158,1890
Frame: 3, ID: 9 Class: car, Coor: 2196,1882,2216,1907
Frame: 3, ID: 10 Class: clock, Coor: 2382,1879,2439,1946
Frame: 4, ID: 2 Class: bird, Coor: 2299,1179,2427,1303
Frame: 4, ID: 3 Class: bird, Coor: 3424,1324,3496,1398
Frame: 4, ID: 4 Class: bird, Coor: 2490,1308,2597,1426
Frame: 4, ID: 5 Class: bird, Coor: 2106,1327,2273,1443
Frame: 4, ID: 8 Class: bird, Coor: 2138,1864,2157,1889
Frame: 4, ID: 9 Class: car, Coor: 2196,1882,2216,1907
Frame: 4, ID: 10 Class: clock, Coor: 2381,1879,2438,1946
Frame: 5, ID: 2 Class: bird, Coor: 2300,1177,2429,1301
Frame: 5, ID: 3 Class: bird, Coor: 3424,1324,3496,1397
Frame: 5, ID: 4 Class: bird, Coor: 2490,1308,2597,1426
Frame: 5, ID: 5 Class: bird, Coor: 2108,1326,2276,1442
Frame: 5, ID: 8 Class: bird, Coor: 2138,1863,2157,1888
Frame: 5, ID: 9 Class: car, Coor: 2196,1882,2216,1907
Frame: 5, ID: 10 Class: clock, Coor: 2381,1879,2438,1946
Frame: 6, ID: 2 Class: bird, Coor: 2301,1174,2430,1300
Frame: 6, ID: 3 Class: bird, Coor: 3423,1324,3496,1398
Frame: 6, ID: 4 Class: bird, Coor: 2490,1308,2597,1426
Frame: 6, ID: 5 Class: bird, Coor: 2109,1325,2278,1442
Frame: 6, ID: 8 Class: bird, Coor: 2138,1864,2157,1888
Frame: 6, ID: 9 Class: car, Coor: 2196,1882,2216,1907
Frame: 6, ID: 10 Class: clock, Coor: 2382,1879,2438,1946
Frame: 7, ID: 2 Class: bird, Coor: 2305,1173,2433,1298
Frame: 7, ID: 3 Class: bird, Coor: 3423,1323,3496,1398
Frame: 7, ID: 4 Class: bird, Coor: 2490,1308,2597,1427
Frame: 7, ID: 5 Class: bird, Coor: 2113,1323,2281,1440
Frame: 7, ID: 8 Class: bird, Coor: 2137,1864,2157,1889
Frame: 7, ID: 9 Class: car, Coor: 2195,1881,2216,1907
Frame: 7, ID: 10 Class: clock, Coor: 2382,1879,2438,1945
Frame: 8, ID: 2 Class: bird, Coor: 2307,1171,2434,1294
Frame: 8, ID: 3 Class: bird, Coor: 3423,1323,3496,1398
Frame: 8, ID: 4 Class: bird, Coor: 2490,1308,2597,1427
Frame: 8, ID: 5 Class: bird, Coor: 2117,1323,2283,1438
Frame: 8, ID: 8 Class: bird, Coor: 2137,1864,2157,1889
Frame: 8, ID: 9 Class: car, Coor: 2196,1881,2216,1907
Frame: 8, ID: 10 Class: clock, Coor: 2382,1879,2438,1946
Frame: 9, ID: 2 Class: bird, Coor: 2309,1168,2436,1293
Frame: 9, ID: 3 Class: bird, Coor: 3423,1323,3496,1398
Frame: 9, ID: 4 Class: bird, Coor: 2489,1307,2598,1427
